date,industry,name,opportunities,salary,qualification,,,,,,
2/04/2023 22:54,Information & Communication Technology careers,Network Technician,384,$85K,no data,,,,,,
2/04/2023 22:54,Information & Communication Technology careers,Network and Systems Engineer,"1,431",$105K,no data,,,,,,
2/04/2023 22:54,Information & Communication Technology careers,Operations Engineer,206,$115K,no data,,,,,,
2/04/2023 22:54,Information & Communication Technology careers,Operations Lead,224,$125K,no data,,,,,,
2/04/2023 22:54,Information & Communication Technology careers,Operations Specialist,195,N/A,no data,,,,,,
2/04/2023 22:54,Information & Communication Technology careers,Optimisation Analyst,7,$110K,no data,,,,,,
2/04/2023 22:54,Information & Communication Technology careers,Optimisation Specialist,6,$110K,no data,,,,,,
2/04/2023 22:54,Information & Communication Technology careers,PHP Developer,"1,056",$108K,"Complete a bachelor degree in computer science, IT or software engineering. Alternatively, a VET course such as a Diploma of Information Technology (ICT50220) can introduce you to the basic skills required for the role. ",,,,,,
2/04/2023 22:54,Information & Communication Technology careers,Penetration Tester,593,$120K,"Complete a bachelor degree in cyber security, computer science, information technology or a related field.",,,,,,
2/04/2023 22:54,Human Resources & Recruitment careers,Performance Consultant,15,$105K,no data,,,,,,
2/04/2023 22:54,Information & Communication Technology careers,Performance Engineer,85,$135K,no data,,,,,,
2/04/2023 22:54,Information & Communication Technology careers,Platform Engineer,392,$135K,no data,,,,,,
2/04/2023 22:54,Government & Defence careers,Platform Manager,125,$165K,no data,,,,,,
2/04/2023 22:54,Marketing & Communications careers,Platform Specialist,68,$125K,no data,,,,,,
2/04/2023 22:54,Banking & Financial Services careers,Portfolio Analyst,122,$110K,no data,,,,,,
2/04/2023 22:54,Information & Communication Technology careers,Portfolio Manager,175,$135K,"Complete a bachelor degree in finance, accounting, commerce, economics or business. Selecting subjects that focus on investing, such as risk management, asset management or statistics can give you a solid background in portfolio management. ",,,,,,
2/04/2023 22:54,Insurance & Superannuation careers,Portfolio Specialist,30,$135K,no data,,,,,,
2/04/2023 22:54,Information & Communication Technology careers,Presales Consultant,136,$150K,"Consider completing a relevant qualification. This could be a degree in business or commerce, or a degree related to your field of work, such as a Bachelor of Information Technology or Bachelor of Computer Science. ",,,,,,
2/04/2023 22:54,Information & Communication Technology careers,Presales Engineer,130,$120K,no data,,,,,,
2/04/2023 22:54,Information & Communication Technology careers,Problem Manager,108,$105K,no data,,,,,,
2/04/2023 22:54,Information & Communication Technology careers,Process Analyst,"1,316",$128K,no data,,,,,,
2/04/2023 22:54,Information & Communication Technology careers,Product Analyst,266,$105K,no data,,,,,,
2/04/2023 22:54,Information & Communication Technology careers,Product Designer,"3,437",$125K,"Complete a qualification in Product Design. This may be a Certificate IV in Design (CUA40715), or Bachelor degree majoring in Product Design. Alternatively, if you already have a degree, you can complete a postgraduate qualification in digital product design or product management.",,,,,,
2/04/2023 22:54,Information & Communication Technology careers,Product Lead,575,$138K,no data,,,,,,
2/04/2023 22:54,Marketing & Communications careers,Product Manager,"2,410",$130K,"A qualification in a related discipline may be an advantage, such as IT, computer science, marketing, or business. ",,,,,,
2/04/2023 22:54,Information & Communication Technology careers,Product Owner,"1,041",$145K,"Complete a bachelor degree in information technology, computer science, business or a related field. This usually takes three years of full-time study.",,,,,,
2/04/2023 22:54,Information & Communication Technology careers,Program Analyst,131,$95K,no data,,,,,,
2/04/2023 22:54,Information & Communication Technology careers,Program Coordinator,265,$85K,"Consider completing a vocational qualification in project management, or a bachelor degree in business or economics.",,,,,,
2/04/2023 22:54,Information & Communication Technology careers,Program Director,"2,323",$230K,no data,,,,,,
2/04/2023 22:54,Information & Communication Technology careers,Program Manager,"4,489",$125K,"Complete a bachelor degree in business management or economics or in the industry you plan to enter, such as engineering or computer science.",,,,,,
2/04/2023 22:54,Community Services & Development careers,Programme Coordinator,51,$85K,no data,,,,,,
2/04/2023 22:54,"Advertising, Arts & Media careers",Programmer,"2,058",$75K,"Complete a qualification in computer science with a focus on software development. This could be a Certificate IV in Information Technology (Programming) (ICT40120), a Diploma of Information Technology (ICT50220) or a Bachelor degree majoring in software development.",,,,,,
2/04/2023 22:54,Information & Communication Technology careers,Programmer Analyst,151,$100K,no data,,,,,,
2/04/2023 22:54,Construction careers,Project Coordinator,"2,857",$80K,Complete a qualification in project management. This could be a Certificate IV in Project Management Practice (BSB40920) or a Diploma of Project Management (BSB50820).,,,,,,
2/04/2023 22:54,Information & Communication Technology careers,Project Management Officer,389,$105K,no data,,,,,,
2/04/2023 22:54,Information & Communication Technology careers,Project Manager,"12,334",$135K,Complete a Certificate IV in Project Management Practice (BSB40920). This certificate will prepare you to work as a part of a project team.,,,,,,
2/04/2023 22:54,Administration & Office Support careers,Project Support Officer,991,$80K,"Consider completing a vocational qualification, such as a Certificate IV in Project Management Practice (BSB40920), or a Diploma of Project Management (BSB50820). These courses provide practical skills and knowledge to prepare you for a career in project management. Alternatively, a short course may provide you with basic knowledge and skills.",,,,,,
2/04/2023 22:54,Information & Communication Technology careers,Python Developer,"1,304",$130K,no data,,,,,,
2/04/2023 22:54,Information & Communication Technology careers,Quality Analyst,"1,425",$95K,no data,,,,,,
2/04/2023 22:54,Information & Communication Technology careers,Quality Assurance Engineer,387,$100K,no data,,,,,,
2/04/2023 22:54,"Manufacturing, Transport & Logistics careers",Quality Engineer,911,$115K,no data,,,,,,
