date,industry,name,opportunities,salary,qualification,
8/04/2023 16:41,Information & Communication Technology careers,Portfolio Manager,170,$150K,"Complete a bachelor degree in finance, accounting, commerce, economics or business. Selecting subjects that focus on investing, such as risk management, asset management or statistics can give you a solid background in portfolio management. ",
8/04/2023 16:41,Insurance & Superannuation careers,Portfolio Specialist,21,$155K,no data,
8/04/2023 16:41,Information & Communication Technology careers,Presales Consultant,140,$150K,"Consider completing a relevant qualification. This could be a degree in business or commerce, or a degree related to your field of work, such as a Bachelor of Information Technology or Bachelor of Computer Science. ",
8/04/2023 16:41,Information & Communication Technology careers,Presales Engineer,122,$125K,no data,
8/04/2023 16:41,Information & Communication Technology careers,Problem Manager,97,$105K,no data,
8/04/2023 16:41,Information & Communication Technology careers,Process Analyst,"1,295",$128K,no data,
8/04/2023 16:41,Information & Communication Technology careers,Product Analyst,272,$100K,no data,
8/04/2023 16:41,Information & Communication Technology careers,Product Designer,"3,337",$125K,"Complete a qualification in Product Design. This may be a Certificate IV in Design (CUA40715), or Bachelor degree majoring in Product Design. Alternatively, if you already have a degree, you can complete a postgraduate qualification in digital product design or product management.",
8/04/2023 16:41,Information & Communication Technology careers,Product Lead,580,$140K,no data,
8/04/2023 16:41,Marketing & Communications careers,Product Manager,"2,313",$125K,"A qualification in a related discipline may be an advantage, such as IT, computer science, marketing, or business. ",
8/04/2023 16:41,Information & Communication Technology careers,Product Owner,"1,005",$140K,"Complete a bachelor degree in information technology, computer science, business or a related field. This usually takes three years of full-time study.",
8/04/2023 16:41,Information & Communication Technology careers,Program Analyst,125,$90K,no data,
8/04/2023 16:41,Information & Communication Technology careers,Program Coordinator,287,$85K,"Consider completing a vocational qualification in project management, or a bachelor degree in business or economics.",
8/04/2023 16:41,Information & Communication Technology careers,Program Director,"2,344",$235K,no data,
8/04/2023 16:41,Information & Communication Technology careers,Program Manager,"4,448",$125K,"Complete a bachelor degree in business management or economics or in the industry you plan to enter, such as engineering or computer science.",
8/04/2023 16:41,Community Services & Development careers,Programme Coordinator,54,$85K,no data,
8/04/2023 16:41,"Advertising, Arts & Media careers",Programmer,"2,024",$80K,"Complete a qualification in computer science with a focus on software development. This could be a Certificate IV in Information Technology (Programming) (ICT40120), a Diploma of Information Technology (ICT50220) or a Bachelor degree majoring in software development.",
8/04/2023 16:41,Information & Communication Technology careers,Programmer Analyst,156,$100K,no data,
8/04/2023 16:41,Construction careers,Project Coordinator,"2,820",$80K,Complete a qualification in project management. This could be a Certificate IV in Project Management Practice (BSB40920) or a Diploma of Project Management (BSB50820).,
8/04/2023 16:41,Information & Communication Technology careers,Project Management Officer,394,$125K,no data,
8/04/2023 16:41,Information & Communication Technology careers,Project Manager,"12,149",$135K,Complete a Certificate IV in Project Management Practice (BSB40920). This certificate will prepare you to work as a part of a project team.,
8/04/2023 16:41,Administration & Office Support careers,Project Support Officer,982,$83K,"Consider completing a vocational qualification, such as a Certificate IV in Project Management Practice (BSB40920), or a Diploma of Project Management (BSB50820). These courses provide practical skills and knowledge to prepare you for a career in project management. Alternatively, a short course may provide you with basic knowledge and skills.",
